Porosity（%）,ED（gm/cc）,AOP(mm),S（%）,Fe（%）,Mn（%）,FSP(cm),High(cm),C/N,TNinf(mg/L),T(℃),HRT（h）,P(%),F(%),A(%),B(%),TNre(%)
45.6,4.24,15.41,0,8.98,24.12,20,55,1.7,46.6,25,24,52.31,4.79,14.72,4.94,44.34
45.6,4.24,15.41,0,8.98,24.12,20,55,1.7,47.7,25,12,52.31,4.79,14.72,4.94,39.04
45.6,4.24,15.41,0,8.98,24.12,20,55,1.7,46.2,25,8,52.31,4.79,14.72,4.94,26.15
45.3,2.67,2,0,0,0,22.5,50,3,20,22,72,35.65,9.89,6.49,20.74,71.06
45.6,4.24,2,0,0,19.65,22.5,50,3,20,22,72,50.46,1.21,6.01,16.35,76.76
45.3,2.67,15.41,0,0,0,850,1500,86.26,33.7,25,72,36.13,6.03,33.42,4.87,96.8
45.3,2.67,15.41,0,0,0,850,1500,57.84,115.99,25,72,34.54,6.3,35.01,10.13,71.9
45.3,2.67,15.41,0,0,0,850,1500,78.44,28.08,25,72,46.09,7.84,23.46,8.81,60.1
54.4,4.84,15,53.45,46.55,0,40,65,0,12.4,25,174.6,42.75,6.3,6.13,8.01,62.5
43.6,2.71,65,0,0,0.46,37.5,60,0,11.72,28,48,24.91,12.15,16.59,2.29,14.39
43.6,2.71,65,0,0,0.46,37.5,60,0,14.68,11,72,24.91,12.15,16.59,2.29,17.09
43.6,2.71,65,0,0,0.46,37.5,60,0,16.04,25,72,39.05,22.9,2.45,7.69,54.81
44.18,3.68,6.5,50,48.5,0,37.5,60,0,11.72,28,48,18.6,14.75,14.3,1.85,59.73
44.18,3.68,6.5,50,48.5,0,37.5,60,0,11.67,15,48,28.91,37.48,9.07,3.39,36.59
44.18,3.68,6.5,50,48.5,0,37.5,60,0,14.68,11,72,40.73,8.16,15.52,4,37.38
44.18,3.68,6.5,50,48.5,0,37.5,60,0,16.04,25,72,68.54,3.36,5.71,5.98,70.98
43.6,2.71,65,0,0,0.46,37.5,60,0,11.72,28,48,46.11,2.32,18.6,7.39,40.06
43.6,2.71,65,0,0,0.46,37.5,60,0,11.67,15,48,44.43,4.77,18.91,7.52,6.49
43.6,2.71,65,0,0,0.46,37.5,60,0,14.68,11,72,46.11,2.32,18.6,7.39,13.14
43.6,2.71,65,0,0,0.46,37.5,60,0,16.04,25,72,44.43,4.77,18.91,7.52,46.25
44.18,3.68,6.5,50,48.5,0,37.5,60,0,11.72,28,48,39.52,13.23,13.51,7.08,57.2
44.18,3.68,6.5,50,48.5,0,37.5,60,0,11.67,15,48,37.2,22.74,20.45,4.6,18.99
44.18,3.68,6.5,50,48.5,0,37.5,60,0,14.68,11,72,42.11,2.32,21.06,4.46,24.05
44.18,3.68,6.5,50,48.5,0,37.5,60,0,16.04,25,72,72.54,2.78,4,11.08,72.89
54.4,4.84,2,53.45,46.55,0,20,40,0,29,28,23,52.93,5.08,4.54,10.56,51.6
54.4,4.84,2,53.45,46.55,0,20,40,0,29,28,11,52.93,5.08,4.54,10.56,10.01
54.4,4.84,2,53.45,46.55,0,20,40,0,29,28,5,52.93,5.08,4.54,10.56,9.05
54.4,4.84,2,53.45,46.55,0,20,40,0,29,28,23,52.93,5.08,4.54,10.56,71.17
54.4,4.84,2,53.45,46.55,0,20,40,0,29,28,11,52.93,5.08,4.54,10.56,18.32
44.18,2.71,15.41,0,0,0.46,30,60,2.56,21.16,22,24,26.14,8.79,11.27,5.46,7.39
43.6,2.71,15.41,0,0,0.46,30,60,2.56,21.16,22,48,26.14,8.79,11.27,5.46,22.05
